stock_code,date,units_sold,closing_inventory,reorder_triggered,reorder_point,inventory_value,coverage_days
20750,2011-12-09,1.0,24.0,0,32.16,190.8,10.07
20832,2011-12-09,66.2566844919786,0.0,1,33.47,0.0,0.0
20846,2011-12-09,0.0,0.0,0,16.46,0.0,0.0
20971,2011-12-09,2.0,94.0,0,451.32,117.5,3.44
20972,2011-12-09,3.0,101.0,0,212.82,126.25,5.69
21064,2011-12-09,0.0,0.0,0,6.04,0.0,0.0
21098,2011-12-09,1.0,151.0,0,188.17,188.75,15.65
21115,2011-12-09,17.0,3.561497326203209,1,11.31,24.04,2.83
21123,2011-12-09,0.0,0.0,0,19.91,0.0,0.0
21137,2011-12-09,147.0,0.0,0,226.66,0.0,0.0
21164,2011-12-09,0.0,15.0,0,26.81,44.25,5.04
21166,2011-12-09,0.0,0.0,0,501.19,0.0,0.0
21174,2011-12-09,0.0,0.0,0,148.54,0.0,0.0
21175,2011-12-09,2.0,348.0,0,377.17,887.4,11.07
21181,2011-12-09,0.0,0.0,0,638.37,0.0,0.0
21189,2011-12-09,0.0,0.0,0,8.21,0.0,0.0
21209,2011-12-09,5.0,9.0,1,12.32,14.67,4.38
21217,2011-12-09,27.0,18.62566844919786,1,38.41,185.33,10.18
21232,2011-12-09,14.0,110.1229946524063,0,567.28,137.65,4.08
21258,2011-12-09,9.0,14.0,1,22.01,178.5,10.49
21340,2011-12-09,0.0,46.66844919786095,0,49.92,595.02,19.63
21408,2011-12-09,0.0,0.0,0,8.31,0.0,0.0
21417,2011-12-09,20.36363636363637,0.0,1,12.27,0.0,0.0
21462,2011-12-09,0.0,0.0,0,8.61,0.0,0.0
21463,2011-12-09,0.0,0.0,0,25.87,0.0,0.0
21504,2011-12-09,0.0,31.0,0,74.88,13.02,6.21
21537,2011-12-09,0.0,8.0,0,9.39,34.0,16.62
21563,2011-12-09,0.0,0.0,0,48.08,0.0,0.0
21564,2011-12-09,0.0,0.0,0,29.17,0.0,0.0
21616,2011-12-09,5.0,0.0,0,11.65,0.0,0.0
21705,2011-12-09,0.0,0.0,0,66.18,0.0,0.0
21733,2011-12-09,0.0,205.0,0,236.21,604.75,10.41
21745,2011-12-09,0.0,0.0,0,29.29,0.0,0.0
21775,2011-12-09,0.0,20.0,0,21.66,49.2,15.23
21791,2011-12-09,1.0,135.0,0,236.21,168.75,7.72
21868,2011-12-09,0.0,91.0,0,133.69,113.75,14.29
21890,2011-12-09,2.0,6.0,0,34.52,19.5,2.09
21928,2011-12-09,4.0,49.0,0,394.01,101.92,1.87
21990,2011-12-09,8.0,0.0,0,78.16,0.0,0.0
22055,2011-12-09,0.0,0.0,0,38.57,0.0,0.0
22061,2011-12-09,0.0,0.0,0,10.65,0.0,0.0
22063,2011-12-09,0.0,0.0,0,17.87,0.0,0.0
22068,2011-12-09,4.0,0.0,0,18.91,0.0,0.0
22069,2011-12-09,0.0,0.0,0,16.6,0.0,0.0
22083,2011-12-09,9.0,85.92513368983964,0,117.24,253.48,7.7
22086,2011-12-09,0.0,0.0,0,890.86,0.0,0.0
22118,2011-12-09,0.0,0.0,0,9.84,0.0,0.0
22119,2011-12-09,0.0,0.0,0,6.79,0.0,0.0
22142,2011-12-09,2.0,68.0,0,159.02,98.6,8.98
22161,2011-12-09,2.0,89.0,0,131.92,70.31,7.08
22166,2011-12-09,0.0,0.0,0,7.47,0.0,0.0
22173,2011-12-09,5.0,111.95187165775404,1,113.51,330.26,19.23
22178,2011-12-09,18.0,520.0,0,854.15,650.0,8.22
22188,2011-12-09,0.0,0.0,0,133.47,0.0,0.0
22199,2011-12-09,0.0,0.0,0,7.34,0.0,0.0
22203,2011-12-09,0.0,0.0,0,16.56,0.0,0.0
22207,2011-12-09,0.0,0.0,0,26.07,0.0,0.0
22211,2011-12-09,0.0,21.08021390374336,0,29.58,17.5,8.55
22212,2011-12-09,1.0,46.278074866310135,0,80.07,97.18,12.14
22215,2011-12-09,0.0,0.0,0,8.38,0.0,0.0
22217,2011-12-09,0.0,0.0,0,9.95,0.0,0.0
22219,2011-12-09,4.0,59.0,0,90.72,50.15,5.85
22220,2011-12-09,0.0,0.0,0,3.89,0.0,0.0
22221,2011-12-09,0.0,1.0,0,4.28,9.95,4.56
22274,2011-12-09,0.0,55.0,0,55.93,162.25,20.65
22306,2011-12-09,0.0,5.0,0,51.59,5.3,1.74
22308,2011-12-09,2.0,0.0,0,9.12,0.0,0.0
22312,2011-12-09,0.0,0.0,0,13.6,0.0,0.0
22314,2011-12-09,23.0,0.0,1,15.16,0.0,0.0
22319,2011-12-09,180.0,44.79679144385023,1,54.39,29.12,14.83
22340,2011-12-09,0.0,0.0,0,49.5,0.0,0.0
22352,2011-12-09,6.0,53.0,0,70.47,135.15,15.79
22355,2011-12-09,0.0,0.0,0,903.62,0.0,0.0
22356,2011-12-09,27.0,378.13368983957207,1,395.37,321.41,18.65
22382,2011-12-09,0.0,256.0,0,414.89,422.4,12.96
22393,2011-12-09,0.0,7.0,0,13.16,17.85,7.98
22403,2011-12-09,0.0,28.0,0,29.65,23.24,9.92
22413,2011-12-09,0.0,0.0,0,39.06,0.0,0.0
22422,2011-12-09,0.0,0.0,0,50.87,0.0,0.0
22434,2011-12-09,0.0,0.0,0,25.6,0.0,0.0
22438,2011-12-09,0.0,0.0,0,29.17,0.0,0.0
22442,2011-12-09,0.0,0.0,0,9.57,0.0,0.0
22446,2011-12-09,0.0,0.0,0,16.46,0.0,0.0
22460,2011-12-09,12.0,51.0,0,69.46,63.75,7.71
22465,2011-12-09,36.0,13.0,1,31.19,21.45,2.5
22474,2011-12-09,0.0,0.0,0,4.89,0.0,0.0
22476,2011-12-09,0.0,0.0,0,44.89,0.0,0.0
22481,2011-12-09,0.0,0.0,0,12.66,0.0,0.0
22500,2011-12-09,0.0,0.0,0,13.14,0.0,0.0
22509,2011-12-09,0.0,0.0,0,8.39,0.0,0.0
22531,2011-12-09,0.0,3.0,0,38.88,1.26,0.58
22549,2011-12-09,3.0,74.30481283422455,0,114.83,107.74,13.59
22556,2011-12-09,0.0,0.0,0,107.93,0.0,0.0
22560,2011-12-09,0.0,0.0,0,142.14,0.0,0.0
22563,2011-12-09,0.0,31.09090909090901,0,60.55,38.86,4.62
22576,2011-12-09,0.0,0.0,0,73.22,0.0,0.0
22601,2011-12-09,3.0,33.0,0,85.9,28.05,6.34
22632,2011-12-09,14.0,30.0,0,94.81,63.0,2.85
22645,2011-12-09,7.101604278074888,0.0,0,44.92,0.0,0.0
22666,2011-12-09,16.0,286.0,0,381.37,843.7,15.75
22682,2011-12-09,0.0,0.0,0,21.4,0.0,0.0
22685,2011-12-09,0.0,26.0,0,30.45,32.5,16.65
22695,2011-12-09,0.0,0.0,0,17.74,0.0,0.0
22697,2011-12-09,19.0,228.23529411764707,0,352.06,673.29,13.61
22721,2011-12-09,21.0,0.0,1,10.26,0.0,0.0
22726,2011-12-09,13.0,2.0,0,157.78,7.5,0.13
22727,2011-12-09,26.0,173.0,1,186.45,648.75,9.74
22728,2011-12-09,0.0,48.0,0,50.11,180.0,4.31
22742,2011-12-09,0.0,0.0,0,20.41,0.0,0.0
22745,2011-12-09,2.0,50.0,0,69.3,105.0,12.99
22754,2011-12-09,0.0,0.0,0,88.44,0.0,0.0
22755,2011-12-09,0.0,0.0,0,31.6,0.0,0.0
22757,2011-12-09,0.0,0.0,0,40.65,0.0,0.0
22768,2011-12-09,14.0,24.0,0,43.64,238.8,10.72
22785,2011-12-09,0.0,0.0,0,4.47,0.0,0.0
22800,2011-12-09,3.0,8.0,0,17.21,30.0,3.49
22866,2011-12-09,5.0,26.0,0,303.64,54.6,1.54
22867,2011-12-09,0.0,0.0,0,336.17,0.0,0.0
22915,2011-12-09,0.0,0.0,0,63.56,0.0,0.0
22923,2011-12-09,0.0,24.342245989304843,0,25.04,20.69,10.21
22941,2011-12-09,0.0,0.0,0,56.67,0.0,0.0
22966,2011-12-09,6.0,102.91443850267387,0,290.62,128.64,6.91
22992,2011-12-09,4.0,58.0,1,58.48,113.1,5.95
22993,2011-12-09,17.0,127.0,1,129.81,158.75,4.4
22995,2011-12-09,4.0,21.0,0,73.96,8.82,3.41
22999,2011-12-09,1.0,14.0,0,77.66,5.88,1.89
23007,2011-12-09,0.0,0.0,0,6.4,0.0,0.0
23012,2011-12-09,2.0,2.0,0,46.25,7.9,0.78
23022,2011-12-09,0.0,16.0,0,20.75,33.28,15.04
23076,2011-12-09,3.0,22.0,0,96.83,27.5,1.36
23080,2011-12-09,0.0,0.0,0,30.67,0.0,0.0
23084,2011-12-09,0.0,0.0,0,244.7,0.0,0.0
23088,2011-12-09,0.0,0.0,0,15.3,0.0,0.0
23111,2011-12-09,17.0,6.0,1,10.51,75.0,8.56
23112,2011-12-09,1.0,6.0,0,8.58,45.0,5.24
23118,2011-12-09,0.0,0.0,0,30.0,0.0,0.0
23127,2011-12-09,0.0,0.0,0,24.36,0.0,0.0
23162,2011-12-09,0.0,35.0,0,44.4,131.25,11.82
23168,2011-12-09,28.0,0.0,0,71.4,0.0,0.0
23184,2011-12-09,0.0,0.0,0,14.14,0.0,0.0
23191,2011-12-09,1.0,62.72727272727275,0,101.18,103.5,13.02
23200,2011-12-09,1.0,165.0,0,199.44,343.2,9.93
23202,2011-12-09,0.0,0.0,0,485.71,0.0,0.0
23203,2011-12-09,20.0,699.0,0,720.28,1453.92,14.56
23217,2011-12-09,0.0,0.0,0,57.75,0.0,0.0
23254,2011-12-09,0.0,20.283422459893018,0,34.99,84.18,10.43
23280,2011-12-09,2.0,2.0,0,44.12,1.66,0.75
23293,2011-12-09,0.0,0.0,0,195.48,0.0,0.0
23301,2011-12-09,63.0,311.0,0,379.54,513.15,13.52
23309,2011-12-09,0.0,0.0,0,284.0,0.0,0.0
23313,2011-12-09,0.0,0.0,0,161.37,0.0,0.0
23320,2011-12-09,0.0,0.0,0,100.81,0.0,0.0
23326,2011-12-09,0.0,0.0,0,117.14,0.0,0.0
23331,2011-12-09,0.0,0.0,0,89.5,0.0,0.0
23332,2011-12-09,1.0,43.0,0,47.0,70.95,8.23
23334,2011-12-09,0.0,0.0,0,124.32,0.0,0.0
23338,2011-12-09,49.0,8.0,1,23.64,16.64,7.11
23343,2011-12-09,0.0,0.0,0,181.73,0.0,0.0
23344,2011-12-09,0.0,0.0,0,377.65,0.0,0.0
23345,2011-12-09,1.0,20.0,0,22.91,25.0,10.48
23355,2011-12-09,64.0,53.0,0,225.04,262.35,3.53
23368,2011-12-09,5.0,24.0,0,59.74,15.6,5.42
23369,2011-12-09,0.0,0.0,0,15.22,0.0,0.0
23388,2011-12-09,0.0,0.0,0,3.8,0.0,0.0
23401,2011-12-09,0.0,0.0,0,23.41,0.0,0.0
23405,2011-12-09,0.0,0.0,0,9.79,0.0,0.0
23414,2011-12-09,0.0,5.0,0,7.04,49.75,13.85
23439,2011-12-09,37.0,48.0,1,60.48,100.8,4.76
23461,2011-12-09,0.0,0.0,0,36.84,0.0,0.0
23486,2011-12-09,0.0,0.0,0,9.6,0.0,0.0
23490,2011-12-09,0.0,0.0,0,16.1,0.0,0.0
23497,2011-12-09,0.0,0.0,0,109.78,0.0,0.0
23498,2011-12-09,0.0,0.0,0,24.19,0.0,0.0
23501,2011-12-09,0.0,0.0,0,68.58,0.0,0.0
23526,2011-12-09,0.0,0.0,0,16.44,0.0,0.0
23530,2011-12-09,0.0,0.0,0,45.53,0.0,0.0
23531,2011-12-09,0.0,0.0,0,31.03,0.0,0.0
23542,2011-12-09,0.0,22.0,0,23.2,181.5,17.07
23543,2011-12-09,0.0,0.0,0,19.56,0.0,0.0
23553,2011-12-09,0.0,0.0,0,31.89,0.0,0.0
23560,2011-12-09,0.0,0.0,0,4.94,0.0,0.0
23576,2011-12-09,0.0,0.0,0,6.66,0.0,0.0
23578,2011-12-09,0.0,0.0,0,2.47,0.0,0.0
23581,2011-12-09,43.0,107.0,0,204.44,222.56,8.64
23681,2011-12-09,10.0,12.0,0,65.49,19.8,3.57
15039,2011-12-09,1.0,92.0,0,99.58,149.96,16.63
16235,2011-12-09,3.0,77.0,0,139.63,32.34,10.75
17012C,2011-12-09,0.0,0.0,0,13.48,0.0,0.0
20719,2011-12-09,22.411764705882437,0.0,0,207.79,0.0,0.0
20723,2011-12-09,44.0,109.0,0,167.83,92.65,4.87
23843,2011-12-09,18191.39037433155,0.0,1,2598.77,0.0,0.0
35953,2011-12-09,0.0,0.0,0,153.67,0.0,0.0
46776F,2011-12-09,0.0,0.0,0,7.83,0.0,0.0
47563A,2011-12-09,0.0,0.0,0,10.25,0.0,0.0
47593B,2011-12-09,0.0,0.0,0,24.57,0.0,0.0
72598,2011-12-09,0.0,0.0,0,10.73,0.0,0.0
72783,2011-12-09,0.0,0.0,0,0.11,0.0,0.0
72799E,2011-12-09,0.0,0.0,0,11.65,0.0,0.0
72800E,2011-12-09,0.0,0.0,0,19.17,0.0,0.0
82486,2011-12-09,4.0,84.0,0,115.11,751.8,15.32
82494L,2011-12-09,0.0,100.0,0,350.64,295.0,5.56
82578,2011-12-09,0.0,0.0,0,88.15,0.0,0.0
82583,2011-12-09,4.0,65.0,0,218.76,136.5,3.57
82616B,2011-12-09,0.0,15.0,0,15.13,36.9,16.36
84012,2011-12-09,0.0,28.422459893048085,0,42.3,24.16,12.09
84029G,2011-12-09,31.0,50.0,1,64.93,212.5,5.78
84031A,2011-12-09,0.0,0.0,0,19.5,0.0,0.0
84347,2011-12-09,68.0,143.0,0,471.23,364.65,5.92
84707A,2011-12-09,0.0,0.0,0,1.84,0.0,0.0
84805B,2011-12-09,0.0,0.0,0,0.67,0.0,0.0
84813,2011-12-09,0.0,0.0,0,3.97,0.0,0.0
84817,2011-12-09,0.0,0.0,0,22.09,0.0,0.0
84820,2011-12-09,0.0,0.0,0,4.23,0.0,0.0
84879,2011-12-09,32.0,1483.0,0,1618.84,2506.27,16.49
84949,2011-12-09,0.0,26.0,0,114.09,42.9,2.05
84951A,2011-12-09,0.0,12.0,0,19.05,19.92,9.45
84968E,2011-12-09,0.0,0.0,0,1.72,0.0,0.0
84970S,2011-12-09,4.0,94.0,0,101.18,79.9,4.18
85176,2011-12-09,0.0,33.0,0,45.36,28.05,14.19
85184C,2011-12-09,0.0,46.0,0,62.69,135.7,11.01
85199S,2011-12-09,0.0,0.0,0,115.99,0.0,0.0
85225,2011-12-09,0.0,0.0,0,0.34,0.0,0.0
90214O,2011-12-09,0.0,0.0,0,0.32,0.0,0.0
90214Y,2011-12-09,0.0,0.0,0,3.18,0.0,0.0
