date,total_quantity,total_revenue,sku_count,promo_days
2010-12-01,23909,61484.533789943715,3802,0
2010-12-02,31110,49044.681035485926,3802,0
2010-12-03,11760,41455.46796031746,3802,0
2010-12-04,0,0.0,3802,0
2010-12-05,13396,25916.708723359974,3802,0
2010-12-06,20840,57051.46349816002,3802,0
2010-12-07,23947,108327.69186580087,3802,15
2010-12-08,20346,44807.79660378511,3802,224
2010-12-09,15985,46074.76719606782,3802,158
2010-12-10,18959,56131.073264790764,3802,124
2010-12-11,0,0.0,3802,0
2010-12-12,8128,13781.759343434343,3802,475
2010-12-13,17396,42049.26516522367,3802,224
2010-12-14,19086,41120.92970851371,3802,326
2010-12-15,18270,31425.305156565657,3802,426
2010-12-16,28243,50308.5702020202,3802,516
2010-12-17,9692,35967.06553066378,3802,51
2010-12-18,0,0.0,3802,0
2010-12-19,3242,6665.533333333334,3802,246
2010-12-20,13239,27655.049095238097,3802,171
2010-12-21,8232,33800.49343650794,3802,79
2010-12-22,2237,4240.9,3802,122
2010-12-23,4690,10249.133833333333,3802,221
2010-12-24,0,0.0,3802,0
2010-12-25,0,0.0,3802,0
2010-12-26,0,0.0,3802,0
2010-12-27,0,0.0,3802,0
2010-12-28,0,0.0,3802,0
2010-12-29,0,0.0,3802,0
2010-12-30,0,0.0,3802,0
2010-12-31,0,0.0,3802,0
2011-01-01,0,0.0,3802,0
2011-01-02,0,0.0,3802,0
2011-01-03,0,0.0,3802,0
2011-01-04,8329,16075.108916666666,3802,418
2011-01-05,19029,34284.4519047619,3802,477
2011-01-06,17877,34582.574154040405,3802,493
2011-01-07,13274,24585.214166666665,3802,426
2011-01-08,0,0.0,3802,0
2011-01-09,7321,14372.011595238095,3802,430
2011-01-10,10748,21262.94783333333,3802,389
2011-01-11,25639,66149.51987878788,3802,366
2011-01-12,9091,21961.2835,3802,414
2011-01-13,9321,19715.385833333334,3802,385
2011-01-14,7342,18373.2145,3802,287
2011-01-15,0,0.0,3802,0
2011-01-16,4084,7029.725,3802,290
2011-01-17,12028,27647.841665445667,3802,355
2011-01-18,81035,92443.80357142857,3802,276
2011-01-19,8033,14850.2295,3802,420
2011-01-20,8028,16788.212833333335,3802,363
2011-01-21,9258,25418.492666666665,3802,292
2011-01-22,0,0.0,3802,0
2011-01-23,5074,9972.203333333333,3802,371
2011-01-24,8922,19045.22057142857,3802,198
2011-01-25,12612,25963.962152597403,3802,327
2011-01-26,8767,17222.492476190477,3802,292
2011-01-27,9411,18800.639642857142,3802,408
2011-01-28,6013,15699.7615,3802,210
2011-01-29,0,0.0,3802,0
2011-01-30,3383,6571.3664285714285,3802,318
2011-01-31,10393,18766.643880952382,3802,242
2011-02-01,14335,27899.89627994228,3802,366
2011-02-02,8950,21401.176312770564,3802,302
2011-02-03,14779,21028.526285714284,3802,283
2011-02-04,11652,24063.541404761905,3802,196
2011-02-05,0,0.0,3802,0
2011-02-06,2036,3455.6033333333335,3802,145
2011-02-07,8553,26156.90266666667,3802,346
2011-02-08,8554,20646.096404761905,3802,183
2011-02-09,3414,9287.183619047619,3802,103
2011-02-10,11193,14391.39130952381,3802,278
2011-02-11,9617,22790.914666666667,3802,150
2011-02-12,0,0.0,3802,0
2011-02-13,2723,5666.7300000000005,3802,273
2011-02-14,10913,23530.9185,3802,222
2011-02-15,10857,20710.693523809525,3802,322
2011-02-16,13209,21756.31184199134,3802,301
2011-02-17,13313,25093.194821428573,3802,263
2011-02-18,8099,15669.644,3802,223
2011-02-19,0,0.0,3802,0
2011-02-20,5214,9544.505000000001,3802,351
2011-02-21,6904,13528.945166666666,3802,262
2011-02-22,18926,31765.59575,3802,317
2011-02-23,12498,26108.612455988456,3802,232
2011-02-24,11109,21916.0505,3802,400
2011-02-25,9700,20100.798357142856,3802,257
2011-02-26,0,0.0,3802,0
2011-02-27,4535,8931.338333333333,3802,337
2011-02-28,8457,18983.959210317462,3802,230
2011-03-01,8173,16165.49419047619,3802,251
2011-03-02,8147,18182.236666666668,3802,314
2011-03-03,8744,18668.937095238096,3802,224
2011-03-04,11803,17873.925833333335,3802,298
2011-03-05,0,0.0,3802,0
2011-03-06,5027,10077.849444444444,3802,319
2011-03-07,13627,34047.9654462482,3802,242
2011-03-08,12983,24252.417928571427,3802,312
2011-03-09,10222,19967.733023809524,3802,306
2011-03-10,10315,18520.50411904762,3802,257
2011-03-11,9574,21625.168452380953,3802,191
2011-03-12,0,0.0,3802,0
2011-03-13,2523,3780.05,3802,240
2011-03-14,10126,19130.847857142857,3802,359
2011-03-15,7279,16263.041701298702,3802,209
2011-03-16,12250,20502.920976190475,3802,314
2011-03-17,18406,42355.43820238095,3802,230
2011-03-18,12412,26282.353857142858,3802,279
2011-03-19,0,0.0,3802,0
2011-03-20,13149,21759.892684343435,3802,368
2011-03-21,10065,16403.66380952381,3802,351
2011-03-22,14793,30303.672223665224,3802,228
2011-03-23,11399,22242.32857142857,3802,288
2011-03-24,16997,33912.23122655123,3802,432
2011-03-25,10741,28068.30392857143,3802,245
2011-03-26,0,0.0,3802,0
2011-03-27,4434,9122.485158730158,3802,266
2011-03-28,8843,20648.60663888889,3802,300
2011-03-29,20274,49968.826987179484,3802,191
2011-03-30,18445,30333.253976190477,3802,361
2011-03-31,13161,29290.435545454544,3802,207
2011-04-01,17264,23189.431677489178,3802,362
2011-04-02,0,0.0,3802,0
2011-04-03,5658,6948.156666666667,3802,307
2011-04-04,12069,24557.28559722222,3802,287
2011-04-05,10509,21114.46988095238,3802,288
2011-04-06,8500,16578.33511904762,3802,233
2011-04-07,8462,16284.245560606061,3802,312
2011-04-08,11281,20969.330227106228,3802,257
2011-04-09,0,0.0,3802,0
2011-04-10,5413,9503.929761904761,3802,309
2011-04-11,11900,20298.325416666667,3802,317
2011-04-12,14389,23889.74719047619,3802,331
2011-04-13,18067,23778.206441558443,3802,317
2011-04-14,17167,32276.628334776335,3802,350
2011-04-15,11809,26589.64177841603,3802,149
2011-04-16,0,0.0,3802,0
2011-04-17,7583,11664.248333333333,3802,287
2011-04-18,23158,61703.51865658134,3802,205
2011-04-19,12374,22528.896666056167,3802,245
2011-04-20,17839,29101.174285714285,3802,248
2011-04-21,16518,32298.272102453102,3802,282
2011-04-22,0,0.0,3802,0
2011-04-23,0,0.0,3802,0
2011-04-24,0,0.0,3802,0
2011-04-25,0,0.0,3802,0
2011-04-26,15695,31260.407547258295,3802,229
2011-04-27,17426,26409.990362193363,3802,298
2011-04-28,12188,20349.595833333333,3802,295
2011-04-29,0,0.0,3802,0
2011-04-30,0,0.0,3802,0
2011-05-01,3167,5893.68,3802,161
2011-05-02,0,0.0,3802,0
2011-05-03,10872,25082.85003954379,3802,184
2011-05-04,15606,25678.604952380952,3802,347
2011-05-05,15121,29047.993676406928,3802,215
2011-05-06,17712,35115.31337362638,3802,233
2011-05-07,0,0.0,3802,0
2011-05-08,9395,16968.5551010101,3802,305
2011-05-09,12119,28155.402222444223,3802,173
2011-05-10,17492,47660.64301625528,3802,178
2011-05-11,16451,30469.691112637363,3802,293
2011-05-12,15204,30254.36243795094,3802,363
2011-05-13,12382,26654.588265151517,3802,217
2011-05-14,0,0.0,3802,0
2011-05-15,4613,9279.503333333334,3802,281
2011-05-16,13459,39991.547242646244,3802,201
2011-05-17,16887,43332.17573809524,3802,227
2011-05-18,17593,33905.63346825397,3802,256
2011-05-19,15509,31630.01176040871,3802,246
2011-05-20,14204,25131.528380952383,3802,226
2011-05-21,0,0.0,3802,0
2011-05-22,11379,21807.494924242423,3802,360
2011-05-23,16161,29816.604798701297,3802,237
2011-05-24,15602,39546.36558658009,3802,203
2011-05-25,10960,22385.984956349206,3802,207
2011-05-26,10214,22816.211285714286,3802,183
2011-05-27,15051,29653.581309523808,3802,155
2011-05-28,0,0.0,3802,0
2011-05-29,3809,6882.518333333333,3802,207
2011-05-30,0,0.0,3802,0
2011-05-31,10015,20153.885233211233,3802,152
2011-06-01,7497,15230.241047619047,3802,142
2011-06-02,13457,35393.6722492785,3802,222
2011-06-03,6859,15578.205142857143,3802,176
2011-06-04,0,0.0,3802,0
2011-06-05,10308,19540.082976190475,3802,326
2011-06-06,8142,15471.504261904762,3802,271
2011-06-07,18064,42355.35936294261,3802,336
2011-06-08,16620,37499.42545085981,3802,202
2011-06-09,24964,49390.776264346765,3802,280
2011-06-10,7266,48934.881357142855,3802,152
2011-06-11,0,0.0,3802,0
2011-06-12,8396,11608.4445,3802,299
2011-06-13,8639,17561.716333333334,3802,208
2011-06-14,14599,45790.366944444446,3802,186
2011-06-15,10881,19632.053108058608,3802,272
2011-06-16,18761,33122.27292857143,3802,289
2011-06-17,9449,16144.937666666667,3802,175
2011-06-18,0,0.0,3802,0
2011-06-19,9864,15884.725909090908,3802,328
2011-06-20,11917,29414.492285714285,3802,194
2011-06-21,12571,23745.831928571428,3802,199
2011-06-22,11540,16717.642,3802,315
2011-06-23,13363,23894.183973186944,3802,292
2011-06-24,8441,17207.618523809524,3802,193
2011-06-25,0,0.0,3802,0
2011-06-26,3288,6229.65,3802,233
2011-06-27,9380,16773.128404761905,3802,223
2011-06-28,10623,20730.523833333333,3802,190
2011-06-29,9499,18389.88019047619,3802,311
2011-06-30,19914,43900.06768650794,3802,373
2011-07-01,6260,11019.617666666667,3802,222
2011-07-02,0,0.0,3802,0
2011-07-03,3091,5993.61,3802,219
2011-07-04,12520,48088.06283152958,3802,310
2011-07-05,21514,44408.85545238095,3802,295
2011-07-06,14632,23066.173202380953,3802,425
2011-07-07,18179,33176.06626623376,3802,376
2011-07-08,10722,25271.121642857142,3802,254
2011-07-09,0,0.0,3802,0
2011-07-10,4200,5953.24,3802,330
2011-07-11,13375,20674.008333333335,3802,407
2011-07-12,12663,25521.51357142857,3802,280
2011-07-13,10031,17363.793055555554,3802,399
2011-07-14,13384,27042.05888095238,3802,373
2011-07-15,6740,12866.128,3802,338
2011-07-16,0,0.0,3802,0
2011-07-17,10655,16731.4925,3802,415
2011-07-18,10647,23485.63292196692,3802,325
2011-07-19,19999,33356.75495959596,3802,370
2011-07-20,16682,33402.70633399933,3802,404
2011-07-21,18096,30213.33707142857,3802,393
2011-07-22,9257,19438.868547619048,3802,313
2011-07-23,0,0.0,3802,0
2011-07-24,16618,26132.690761904763,3802,339
2011-07-25,14038,25458.071095238094,3802,216
2011-07-26,13215,22214.104733766235,3802,237
2011-07-27,10016,20917.822333333334,3802,219
2011-07-28,25531,53246.519380952384,3802,338
2011-07-29,10773,18136.84788888889,3802,264
2011-07-30,0,0.0,3802,0
2011-07-31,9326,13551.363333333333,3802,405
2011-08-01,10844,20244.96069047619,3802,282
2011-08-02,11861,21072.058083333333,3802,178
2011-08-03,15475,27637.308285714287,3802,386
2011-08-04,36518,63275.88589443889,3802,308
2011-08-05,10506,17949.128166666665,3802,292
2011-08-06,0,0.0,3802,0
2011-08-07,5115,7487.168571428571,3802,224
2011-08-08,11823,23090.099603174604,3802,235
2011-08-09,8038,15566.121357142858,3802,224
2011-08-10,12835,28161.420726190478,3802,165
2011-08-11,22582,45361.975567099566,3802,257
2011-08-12,8641,27652.9605,3802,173
2011-08-13,0,0.0,3802,0
2011-08-14,3169,5684.846666666666,3802,193
2011-08-15,7195,13192.445952380953,3802,325
2011-08-16,11006,18472.84223809524,3802,290
2011-08-17,23862,51062.727794011545,3802,339
2011-08-18,18299,27123.547392857145,3802,411
2011-08-19,7995,12905.15,3802,230
2011-08-20,0,0.0,3802,0
2011-08-21,6673,11806.525047619047,3802,323
2011-08-22,14215,27225.918,3802,346
2011-08-23,11556,18079.335,3802,368
2011-08-24,27462,47900.90963492064,3802,286
2011-08-25,10831,19584.252333333334,3802,293
2011-08-26,10049,15256.94657142857,3802,199
2011-08-27,0,0.0,3802,0
2011-08-28,5903,9587.008333333333,3802,316
2011-08-29,0,0.0,3802,0
2011-08-30,10038,32191.739461177713,3802,62
2011-08-31,9455,18676.88342857143,3802,182
2011-09-01,21997,29105.398325396825,3802,453
2011-09-02,16480,45320.56448443224,3802,177
2011-09-03,0,0.0,3802,0
2011-09-04,7534,13181.745,3802,342
2011-09-05,16446,27082.077452380952,3802,308
2011-09-06,13104,23202.203166666666,3802,275
2011-09-07,12870,30828.581384199133,3802,136
2011-09-08,13670,21133.411166666665,3802,330
2011-09-09,13640,24239.56042857143,3802,269
2011-09-10,0,0.0,3802,0
2011-09-11,19811,34394.98128210678,3802,523
2011-09-12,16823,30704.380265873016,3802,339
2011-09-13,27121,46953.51018759019,3802,259
2011-09-14,12228,21888.978404761903,3802,301
2011-09-15,27552,86345.74923928849,3802,288
2011-09-16,14250,26040.865496031747,3802,270
2011-09-17,0,0.0,3802,0
2011-09-18,8936,15964.534166666666,3802,404
2011-09-19,12286,19369.859333333334,3802,266
2011-09-20,42031,109223.21410714286,3802,236
2011-09-21,18519,47880.97318650794,3802,146
2011-09-22,26694,51607.110957042954,3802,456
2011-09-23,17137,34721.14385714286,3802,295
2011-09-24,0,0.0,3802,0
2011-09-25,18094,28924.46708791209,3802,463
2011-09-26,14095,28113.83985714286,3802,254
2011-09-27,20427,37269.13775396825,3802,273
2011-09-28,21973,41027.44773989899,3802,343
2011-09-29,25539,45534.399676823174,3802,475
2011-09-30,18065,37680.21404978355,3802,298
2011-10-01,0,0.0,3802,0
2011-10-02,8332,11592.415,3802,452
2011-10-03,25770,71288.58507142858,3802,263
2011-10-04,24833,50877.138507936506,3802,283
2011-10-05,32944,52761.97944444445,3802,365
2011-10-06,30886,59437.072078088575,3802,445
2011-10-07,26146,50016.8969455267,3802,257
2011-10-08,0,0.0,3802,0
2011-10-09,7285,12337.728333333334,3802,375
2011-10-10,23318,44890.922242784996,3802,314
2011-10-11,21446,46780.62040512265,3802,256
2011-10-12,14261,26852.062035714287,3802,257
2011-10-13,14134,27773.953476190476,3802,342
2011-10-14,14683,27460.905222222224,3802,316
2011-10-15,0,0.0,3802,0
2011-10-16,8648,22206.958095238097,3802,382
2011-10-17,19378,38351.67918903319,3802,231
2011-10-18,25363,40820.961816600066,3802,326
2011-10-19,15097,28784.564865079366,3802,361
2011-10-20,16326,29448.140833333335,3802,448
2011-10-21,20368,58184.759404761906,3802,289
2011-10-22,0,0.0,3802,0
2011-10-23,6951,12115.84,3802,457
2011-10-24,24744,49883.22252380953,3802,207
2011-10-25,24246,39211.35459126984,3802,348
2011-10-26,18441,34888.00005952381,3802,382
2011-10-27,24659,36088.62894011544,3802,409
2011-10-28,17192,30140.05761904762,3802,319
2011-10-29,0,0.0,3802,0
2011-10-30,17506,30870.180887362636,3802,533
2011-10-31,19281,54421.856274891776,3802,93
2011-11-01,14617,25670.0275,3802,416
2011-11-02,24496,42680.82857990621,3802,251
2011-11-03,31485,65522.41671789322,3802,370
2011-11-04,32746,63817.32079326229,3802,416
2011-11-05,0,0.0,3802,0
2011-11-06,18111,33252.90056618382,3802,578
2011-11-07,29504,62977.110061507934,3802,370
2011-11-08,24975,59028.324675575284,3802,184
2011-11-09,35771,70256.1734029304,3802,351
2011-11-10,27856,58607.31584293485,3802,408
2011-11-11,23898,50383.73764474969,3802,231
2011-11-12,0,0.0,3802,0
2011-11-13,17597,28125.655623210125,3802,506
2011-11-14,44115,95677.55304137529,3802,259
2011-11-15,24843,55598.33254230273,3802,250
2011-11-16,26663,57032.271051587304,3802,241
2011-11-17,23020,43978.64853889166,3802,418
2011-11-18,20486,44665.26618090243,3802,292
2011-11-19,0,0.0,3802,0
2011-11-20,17558,30159.604887445887,3802,570
2011-11-21,23532,48248.50718614719,3802,354
2011-11-22,30310,61896.21846067821,3802,340
2011-11-23,29492,65860.50811655012,3802,399
2011-11-24,22174,46358.28553640804,3802,240
2011-11-25,17358,47183.25468434343,3802,190
2011-11-26,0,0.0,3802,0
2011-11-27,10696,18980.822567932068,3802,617
2011-11-28,26795,54820.102839317544,3802,277
2011-11-29,27101,69414.11798613805,3802,269
2011-11-30,22808,52321.10038550992,3802,241
2011-12-01,25472,51172.1465010101,3802,341
2011-12-02,26017,57639.282874269,3802,323
2011-12-03,0,0.0,3802,0
2011-12-04,10716,20926.16596031746,3802,623
2011-12-05,41939,92199.00001080103,3802,314
2011-12-06,28457,56144.80481815991,3802,524
2011-12-07,29765,59042.928207875455,3802,561
2011-12-08,32896,87788.36478514614,3802,295
2011-12-09,90532,195785.90833333333,3802,144
